cranberry jell-o|gelatin;cranberry
melon liqueur|liqueur;melon
Flag Hill&reg; Sugar Maple Liqueur|liqueur;sugar maple
Smirnoff&reg; citrus vodka|vodka;flavoured;citrus
olive|fruit;olive
Boone's Farm Blue Hawaiian|wine;fruit spritzer
1800å¨ Reposado Tequila|tequila;rested
Hi-C&reg; fruit punch|punch;fruit
ice cream|ice cream;
DeKuyper&reg; Key Largo schnapps|schnapps;tropical
Snapple&reg; Earth soda|soda;grape-cranberry
Alize&reg; Gold Passion liqueur|liqueur;passion fruit
watermelons|fruit;watermelon;
raspberry liqueur|liqueur;raspberry
amber rum|rum;gold
draft beer|beer;draft
guava nectar|juice;guava
nectarines|fruit;peach;nectarine
champagne soda|soda;champagne
mango|fruit;mango
Absolut&reg; Kurant vodka|vodka;flavoured;blackcurrant
Pomegranate liqueur|liqueur;pomegranate
DeKuyper&reg; raspberry schnapps|schnapps;raspberry
Presidente&reg; brandy|brandy;
Monster&reg; energy drink|energy
Dry Sack&reg; sherry|wine;sherry
Bols&reg; Gold Strike cinnamon liqueur|liqueur;cinnamon
Sauza&reg; Hornitos Reposado tequila|tequila;aged
Appleton Estate&reg; Dark Jamaica rum|rum;dark;Jamaica
Monin&reg; passion-fruit syrup|syrup;passion fruit
limoncello lemon liqueur|liqueur;lemon
coconut extract|other;extract;coconut
Cava&reg; Spanish Champagne|wine;Champagne;Spanish
Champagne|wine;Champagne
Smirnoff&reg; Cranberry Twist vodka|vodka;flavoured;cranberry
Tahitian Treat&reg; soda|soda;
Rose wine|wine;rose
Smirnoff&reg; Silver Label vodka|vodka
lime soda|soda;lime
pineapples|fruit;pineapple
Jack Daniel's&reg; Tennessee whiskey|whiskey;tennessee
Marie Brizard&reg; white creme de cacao liqueur|liqueur;white creme de cacao
sambuca|liqueur;sambuca
McCormick's&reg; vanilla vodka|vodka;flavoured;vanilla
Larios&reg; gin|gin;dry
Powerade&reg; energy drink|energy
Vana Tallin&reg; cream liqueur|liqueur;cream
Alexander Keith's&reg; India Pale Ale|beer;ale
mixed-berry marinade|marinade;mixed-berry
Malibu&reg; banana rum|rum;flavoured;banana
Skyy&reg; melon vodka|vodka;flavoured;melon
Pop Rocks&reg; candy|candy
Minute Maid&reg; fruit punch|punch;fruit
Hot Sauce From Hell&reg; pepper sauce|sauce;pepper
fruits|fruit
Jose Cuervo&reg; gold tequila|tequila;gold
Melon Deoria&reg; liqueur|liqueur;
Smucker's&reg; caramel syrup|syrup;caramel
orange crush|soda;orange
red curry paste|spice;curry;red curry oaste
St. Brendan's&reg; Irish cream liqueur|liqueur;irish cream
cherry brandy|brandy;flavoured;cherry
Heineken&reg; lager|beer;lager
Father O'Leary's&reg; butterscotch cream liqueur|liqueur;cream;butterscotch
Woodford Reserve&reg; bourbon whiskey|whiskey;bourbon
strawberry puree|puree;strawberry
Faxe Kondi&reg; soda|soda
Seagram's&reg; vodka|vodka
Van Der Hum&reg; liqueur|liqueur;citrus
white tequila|tequila;white
Fruit Salad|fruit salad;
Simers&reg; aquavit|brandy;akvavit
Absinth&reg; absinthe herbal liqueur|liqueur;herbal;absinthe
Sour Apple Schnapps|schnapps;sour apple
Dawa|dawa
basil|spice;basil
Sorbet|sorbet
molasses|molasses
Sobe&reg; Lizard Blizzard juice|juice;fruit
blueberry cocktail mix|mix;blueberry cocktail mix
mango puree|puree;mango
Carambolas|fruit;carambolas
Smirnoff&reg; lemon vodka|vodka;flavoured;lemon
Old Krupnik&reg; honey liqueur|liqueur;honey
Pernod&reg; licorice liqueur|liqueur;licorice
Barenfang&reg; honey liqueur|liqueur;honey
Canada Dry&reg; cranberry soda|soda;cranberry
oregano|spice;oregano
Grey Goose&reg; Le Citron vodka|vodka;flavoured;citron
chocolate vodka|vodka;flavoured;chocolate
pumpkin|fruit;pumpkin
mango rum|rum;flavoured;mango
Pusser's&reg; dark rum|rum;dark
Monin&reg; hazelnut syrup|syrup;hazelnut
TicTac|candy;tictac
Old-fashioned mix|mix;old-fashioned
Raspberry di Amore&reg;|liqueur;raspberry
Go Fast&reg; energy drink|energy
Southern Comfort&reg; peach liqueur|liqueur;peach
watermelon vodka|vodka;flavoured;watermelon
Stoli&reg; Zinamon vodka|vodka;flavoured;cinnamon
Angostura&reg; bitters|bitters;angosutra
garlic powder|powder;garlic
Pepsi&reg; Diet|cola
Looza&reg; banana nectar|juice;banana
Orange-Strawberry Sunny Delight|juice;orange-strawberry
Beefeater&reg; gin|gin;beefeater
baked apple|fruit;apple;baked
Just Desserts&reg; chocolate chip cookie cream liqueur|liqueur;chocolate chiup cookie cream
sarsaparilla|sarsaparilla
Carnation&reg; creamy evaporated milk|milk;evaporated
Firewater&reg; cinnamon schnapps|schnapps;cinnamon
Fresca&reg; citrus soda|soda;citrus
x-treme green apple jell-o|gelatin;apple
lager|beer;lager
dill|herb;dill
Stewart's&reg; Orange 'n Cream soda|soda;orange and cream
Basil Hayden's&reg; bourbon whiskey|whiskey;bourbon
vanilla vodka|vodka;flavoured;vanilla
Amer Picon&reg; orange bitters|bitters;orange
peach schnapps|schnapps;peach
Jim Beam Black Label bourbon whiskey|whiskey;bourbon
Malibu&reg; mango rum|rum;flavoured;mango
Keystone&reg; Light lager|beer;lager;light
Rock and Rye&reg; liqueur|liqueur;rye
Belvedere&reg; vodka|vodka
blackberry schnapps|schnapps;blackberry
Chocolate Stout|stout;chocolate
Macadamia nut liqueur|liqueur;nut
creme de myrtille|liqueur;blueberry
cream sherry|wine;sherry;cream
Avalanche&reg; peppermint schnapps|schnapps;peppermint
Kleiner Feigling&reg; vodka|vodka
latte|coffee;latte
tamarillo|fruit;tamarillo
Smirnoff&reg; raspberry vodka|vodka;flavoured;raspberry
peach sherbet|sherbet;peach
Pear vodka|vodka;flavoured;pear
Skyy&reg; orange vodka|vodka;flavoured;orange
Milo's&reg; sweet tea|tea;sweet
peach|fruit;peach
Asti Spumanti&reg; champagne|wine;champagne
Jone's Soda&reg; Berry Lemonade|soda;berry lemonade
Faygo&reg; Twist soda|soda;lime
Ocean Spray&reg; cran-grape juice|juice;grape
wine cooler|wine;cooler
Crown Royal&reg; Reserve Canadian whisky|whiskey;canadian
creme de menthe|liqueur;creme de menthe
mint extract|extract;mint
strawberry schnapps|schnapps;strawberry
Thor's&reg; Hammer vodka|vodka
Hawaiian Punch&reg; Fruit Juicy Red|juice;fruit
Hammer&reg; lime vodka|vodka;flavoured;lime
Orange Reef&reg; vodka|vodka
raspberry jell-o|gelatin;raspberry
Yukon Jack&reg; Perma Frost schnapps|schnapps;peppermint
IBC&reg; root beer|beer;root
Seagram's&reg; lemon gin|gin;lemon
pear schnapps|schnapps;pear
Fee Brothers&reg; orange bitters|bitters;orange
Everglo liqueur|liqueur;coffee
maracuja syrup|syrup;maracuja
kiwis|fruit;kiwi
Vincent Van Gogh&reg; Espresso vodka|vodka;flavoured;coffee
Nestle&reg; condensed milk|milk;condensed
honey|honey
Bols&reg; butterscotch schnapps|schnapps;
Corona&reg; Extra lager|beer;lager
Kool-Aid&reg; Tangerine mix|powder;tangarine
cherry cider|cider;cherry
Bandolero&reg; triple sec|liqueur;triple sec
chocolate milk|milk;chocolate
Sweet'N Low&reg; artificial sweetener|sugar
passion-fruit liqueur|liqueur;passion fruit
X-Rated Fusion&reg; liqueur|liqueur;passion fruit;mango
Jose Cuervo&reg; 1800 tequila|tequila;aged
Busch&reg; Light lager|beer;lager;light
Absolut&reg; vodka|vodka
vanilla schnapps|schnapps;vanilla
Remy&reg; Red cognac|cognac
tropical-fruit puree|puree;tropical fruit
dry sherry|wine;sherry;dry
pastis liqueur|liqueur;pastis
Everfresh&reg; tropical fruit punch|punch;tropical fruit
banana rum|rum;flavoured;banana
Chinese wine|wine;chinese
Puerto Rican dark rum|rum;dark
watermelon jell-o|gelatin;watermelon
Angostura&reg; Lemon, Lime & Bitters|bitters;lemon and lime
Amaretto Di Saronno&reg; liqueur|liqueur;amaretto
carbonated water|soda
Seagram's&reg; apple vodka|vodka;flavoured;apple
pineapple syrup|syrup;pineapple
Cruzan&reg; dark rum|rum;dark
lemon syrup|syrup;lemon
Stoli&reg; Strasberi vodka|vodka;flavoured;strawberry
Myer's&reg; dark rum|rum;dark
agave juice|juice;agave
syrup of roses|syrup;roses
Tony Chachere's&reg; Creole Seasoning|spice
Safflower Oil|safflower oil
brandy|brandy
peach sorbet|sorbet;peach
